2000 SOC code,2000 SOC title,2010 SOC code,2010 SOC title
,,,
11_1011,Chief Executives,11_1011,Chief Executives
11_1021,General and Operations Managers,11_1021,General and Operations Managers
11_1031,Legislators,11_1031,Legislators
11_2011,Advertising and Promotions Managers,11_2011,Advertising and Promotions Managers
11_2021,Marketing Managers,11_2021,Marketing Managers
11_2022,Sales Managers,11_2022,Sales Managers
11_2031,Public Relations Managers,11_2031,Public Relations and Fundraising Managers
11_3011,Administrative Services Managers,11_3011,Administrative Services Managers
11_3021,Computer and Information Systems Managers,11_3021,Computer and Information Systems Managers
11_3031,Financial Managers,11_3031,Financial Managers
11_3040,Compensation and Benefits Managers,11_3111,Compensation and Benefits Managers
11_3040,Training and Development Managers,11_3131,Training and Development Managers
11_3040,"Human Resources Managers, All Other",11_3121,Human Resources Managers
11_3051,Industrial Production Managers,11_3051,Industrial Production Managers
11_3061,Purchasing Managers,11_3061,Purchasing Managers
11_3071,"Transportation, Storage, and Distribution Managers",11_3071,"Transportation, Storage, and Distribution Managers"
11_9011,"Farm, Ranch, and Other Agricultural Managers",11_9013,"Farmers, Ranchers, and Other Agricultural Managers**"
11_9012,Farmers and Ranchers,11_9013,"Farmers, Ranchers, and Other Agricultural Managers**"
11_9021,Construction Managers,11_9021,Construction Managers
11_9031,"Education Administrators, Preschool and Child Care Center/Program",11_9031,"Education Administrators, Preschool and Childcare Center/Program"
11_9032,"Education Administrators, Elementary and Secondary School",11_9032,"Education Administrators, Elementary and Secondary School"
11_9033,"Education Administrators, Postsecondary",11_9033,"Education Administrators, Postsecondary"
11_9039,"Education Administrators, All Other",11_9039,"Education Administrators, All Other"
11_9041,Engineering Managers,11_9041,Architectural and Engineering Managers
11_9051,Food Service Managers,11_9051,Food Service Managers
11_9061,Funeral Directors *,11_9061,Funeral Service Managers
11_9071,Gaming Managers,11_9071,Gaming Managers
11_9081,Lodging Managers,11_9081,Lodging Managers
11_9111,Medical and Health Services Managers,11_9111,Medical and Health Services Managers
11_9121,Natural Sciences Managers,11_9121,Natural Sciences Managers
11_9131,Postmasters and Mail Superintendents,11_9131,Postmasters and Mail Superintendents
11_9141,"Property, Real Estate, and Community Association Managers",11_9141,"Property, Real Estate, and Community Association Managers"
11_9151,Social and Community Service Managers,11_9151,Social and Community Service Managers
11_9199,"Managers, All Other",11_9199,"Managers, All Other"
13_1011,"Agents and Business Managers of Artists, Performers, and Athletes",13_1011,"Agents and Business Managers of Artists, Performers, and Athletes"
13_1021,"Purchasing Agents and Buyers, Farm Products",13_1021,"Buyers and Purchasing Agents, Farm Products"
13_1022,"Wholesale and Retail Buyers, Except Farm Products",13_1022,"Wholesale and Retail Buyers, Except Farm Products"
13_1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13_1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13_1031,"Claims Adjusters, Examiners, and Investigators",13_1031,"Claims Adjusters, Examiners, and Investigators"
13_1032,"Insurance Appraisers, Auto Damage",13_1032,"Insurance Appraisers, Auto Damage"
13_1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation*",13_1041,Compliance Officers
13_1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation*",33_9093 ,Transportation Security Screeners** 
13_1051,Cost Estimators,13_1051,Cost Estimators
13_1061,Emergency Management Specialists,11_9161,Emergency Management Directors
13_1071,"Employment, Recruitment, and Placement Specialists",13_1071,Human Resources Specialists** 
13_1072,"Compensation, Benefits, and Job Analysis Specialists",13_1141,"Compensation, Benefits, and Job Analysis Specialists"
13_1073,Training and Development Specialists,13_1151,Training and Development Specialists
13_1079,"Human Resources, Training, and Labor Relations Specialists, All Other*",13_1071,Human Resources Specialists** 
13_1079,"Human Resources, Training, and Labor Relations Specialists, All Other*",13_1075,Labor Relations Specialists
13_1081,Logisticians,13_1081,Logisticians
13_1111,Management Analysts,13_1111,Management Analysts
13_1121,Meeting and Convention Planners,13_1121,"Meeting, Convention, and Event Planners**"
13_1199,"Business Operations Specialists, All Other*",13_1121,"Meeting, Convention, and Event Planners**"
13_1199,"Business Operations Specialists, All Other*",13_1161,Market Research Analysts and Marketing Specialists** 
13_1199,"Business Operations Specialists, All Other*",13_1199 ,"Business Operations Specialists, All Other"
13_2011,Accountants and Auditors,13_2011,Accountants and Auditors
13_2021,Appraisers and Assessors of Real Estate,13_2021,Appraisers and Assessors of Real Estate
13_2031,Budget Analysts,13_2031,Budget Analysts
13_2041,Credit Analysts,13_2041,Credit Analysts
13_2051,Financial Analysts,13_2051,Financial Analysts
13_2052,Personal Financial Advisors,13_2052,Personal Financial Advisors
13_2053,Insurance Underwriters,13_2053,Insurance Underwriters
13_2061,Financial Examiners,13_2061,Financial Examiners
13_2071,Loan Counselors,13_2071,Credit Counselors
13_2072,Loan Officers,13_2072,Loan Officers
13_2081,"Tax Examiners, Collectors, and Revenue Agents",13_2081,"Tax Examiners and Collectors, and Revenue Agents"
13_2082,Tax Preparers,13_2082,Tax Preparers
13_2099,"Financial Specialists, All Other",13_2099,"Financial Specialists, All Other"
15_1011,"Computer and Information Scientists, Research",15_1111,Computer and Information Research Scientists
15_1021,Computer Programmers,15_1131,Computer Programmers
15_1031,"Computer Software Engineers, Applications",15_1132,"Software Developers, Applications"
15_1032,"Computer Software Engineers, Systems Software",15_1133,"Software Developers, Systems Software"
15_1041,Computer Support Specialists,15_1151,Computer User Support Specialists
15_1051,Computer Systems Analysts*,15_1143,Computer Network Architects** 
15_1051,Computer Systems Analysts*,15_1121,Computer Systems Analysts
15_1061,Database Administrators,15_1141,Database Administrators
15_1071,Network and Computer Systems Administrators,15_1142,Network and Computer Systems Administrators** 
15_1081,Network Systems and Data Communications Analysts*,15_1122,Information Security Analysts
15_1081,Network Systems and Data Communications Analysts*,15_1134,Web Developers
15_1081,Network Systems and Data Communications Analysts*,15_1142,Network and Computer Systems Administrators** 
15_1081,Network Systems and Data Communications Analysts*,15_1143,Computer Network Architects** 
15_1081,Network Systems and Data Communications Analysts*,15_1152,Computer Network Support Specialists
15_1099,"Computer Specialists, All Other",15_1199,"Computer Occupations, All Other"
15_2011,Actuaries,15_2011,Actuaries
15_2021,Mathematicians,15_2021,Mathematicians
15_2031,Operations Research Analysts,15_2031,Operations Research Analysts
15_2041,Statisticians,15_2041,Statisticians
15_2091,Mathematical Technicians,15_2091,Mathematical Technicians
15_2099,"Mathematical Science Occupations, All Other",15_2099,"Mathematical Science Occupations, All Other"
17_1011,"Architects, Except Landscape and Naval",17_1011,"Architects, Except Landscape and Naval"
17_1012,Landscape Architects,17_1012,Landscape Architects
17_1021,Cartographers and Photogrammetrists,17_1021,Cartographers and Photogrammetrists
17_1022,Surveyors,17_1022,Surveyors
17_2011,Aerospace Engineers,17_2011,Aerospace Engineers
17_2021,Agricultural Engineers,17_2021,Agricultural Engineers
17_2031,Biomedical Engineers,17_2031,Biomedical Engineers
17_2041,Chemical Engineers,17_2041,Chemical Engineers
17_2051,Civil Engineers,17_2051,Civil Engineers
17_2061,Computer Hardware Engineers,17_2061,Computer Hardware Engineers
17_2071,Electrical Engineers,17_2071,Electrical Engineers
17_2072,"Electronics Engineers, Except Computer",17_2072,"Electronics Engineers, Except Computer"
17_2081,Environmental Engineers,17_2081,Environmental Engineers
17_2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17_2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17_2112,Industrial Engineers,17_2112,Industrial Engineers
17_2121,Marine Engineers and Naval Architects,17_2121,Marine Engineers and Naval Architects
17_2131,Materials Engineers,17_2131,Materials Engineers
17_2141,Mechanical Engineers,17_2141,Mechanical Engineers
17_2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17_2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
17_2161,Nuclear Engineers,17_2161,Nuclear Engineers
17_2171,Petroleum Engineers,17_2171,Petroleum Engineers
17_2199,"Engineers, All Other",17_2199,"Engineers, All Other"
17_3011,Architectural and Civil Drafters,17_3011,Architectural and Civil Drafters
17_3012,Electrical and Electronics Drafters,17_3012,Electrical and Electronics Drafters
17_3013,Mechanical Drafters,17_3013,Mechanical Drafters
17_3019,"Drafters, All Other",17_3019,"Drafters, All Other"
17_3021,Aerospace Engineering and Operations Technicians,17_3021,Aerospace Engineering and Operations Technicians
17_3022,Civil Engineering Technicians,17_3022,Civil Engineering Technicians
17_3023,Electrical and Electronic Engineering Technicians,17_3023,Electrical and Electronics Engineering Technicians
17_3024,Electro-Mechanical Technicians,17_3024,Electro-Mechanical Technicians
17_3025,Environmental Engineering Technicians,17_3025,Environmental Engineering Technicians
17_3026,Industrial Engineering Technicians,17_3026,Industrial Engineering Technicians
17_3027,Mechanical Engineering Technicians,17_3027,Mechanical Engineering Technicians
17_3029,"Engineering Technicians, Except Drafters, All Other",17_3029,"Engineering Technicians, Except Drafters, All Other"
17_3031,Surveying and Mapping Technicians,17_3031,Surveying and Mapping Technicians
19_1010,Animal Scientists,19_1011,Animal Scientists
19_1010,Food Scientists and Technologists,19_1012,Food Scientists and Technologists
19_1013,Soil and Plant Scientists,19_1013,Soil and Plant Scientists
19_1021,Biochemists and Biophysicists,19_1021,Biochemists and Biophysicists
19_1022,Microbiologists,19_1022,Microbiologists
19_1023,Zoologists and Wildlife Biologists,19_1023,Zoologists and Wildlife Biologists
19_1029,"Biological Scientists, All Other",19_1029,"Biological Scientists, All Other"
19_1031,Conservation Scientists,19_1031,Conservation Scientists
19_1032,Foresters,19_1032,Foresters
19_1041,Epidemiologists,19_1041,Epidemiologists
19_1042,"Medical Scientists, Except Epidemiologists",19_1042,"Medical Scientists, Except Epidemiologists"
19_1099,"Life Scientists, All Other",19_1099,"Life Scientists, All Other"
19_2011,Astronomers,19_2011,Astronomers
19_2012,Physicists,19_2012,Physicists
19_2021,Atmospheric and Space Scientists,19_2021,Atmospheric and Space Scientists
19_2031,Chemists,19_2031,Chemists
19_2032,Materials Scientists,19_2032,Materials Scientists
19_2041,"Environmental Scientists and Specialists, Including Health",19_2041,"Environmental Scientists and Specialists, Including Health"
19_2042,"Geoscientists, Except Hydrologists and Geographers",19_2042,"Geoscientists, Except Hydrologists and Geographers"
19_2043,Hydrologists,19_2043,Hydrologists
19_2099,"Physical Scientists, All Other",19_2099,"Physical Scientists, All Other"
19_3011,Economists,19_3011,Economists
19_3021,Market Research Analysts,13_1161  ,Market Research Analysts and Marketing Specialists**
19_3022,Survey Researchers,19_3022,Survey Researchers
19_3031,"Clinical, Counseling, and School Psychologists",19_3031,"Clinical, Counseling, and School Psychologists"
19_3032,Industrial-Organizational Psychologists,19_3032,Industrial-Organizational Psychologists
19_3039,"Psychologists, All Other",19_3039,"Psychologists, All Other"
19_3041,Sociologists,19_3041,Sociologists
19_3051,Urban and Regional Planners,19_3051,Urban and Regional Planners
19_3091,Anthropologists and Archeologists,19_3091,Anthropologists and Archeologists
19_3092,Geographers,19_3092,Geographers
19_3093,Historians,19_3093,Historians
19_3094,Political Scientists,19_3094,Political Scientists
19_3099,"Social Scientists and Related Workers, All Other",19_3099,"Social Scientists and Related Workers, All Other"
19_4011,Agricultural and Food Science Technicians,19_4011,Agricultural and Food Science Technicians
19_4021,Biological Technicians,19_4021,Biological Technicians
19_4031,Chemical Technicians,19_4031,Chemical Technicians
19_4041,Geological and Petroleum Technicians,19_4041,Geological and Petroleum Technicians
19_4051,Nuclear Technicians,19_4051,Nuclear Technicians
19_4061,Social Science Research Assistants,19_4061,Social Science Research Assistants
19_4091,"Environmental Science and Protection Technicians, Including Health",19_4091,"Environmental Science and Protection Technicians, Including Health"
19_4092,Forensic Science Technicians,19_4092,Forensic Science Technicians
19_4093,Forest and Conservation Technicians,19_4093,Forest and Conservation Technicians
19_4099,"Life, Physical, and Social Science Technicians, All Other",19_4099,"Life, Physical, and Social Science Technicians, All Other"
21_1011,Substance Abuse and Behavioral Disorder Counselors,21_1011,Substance Abuse and Behavioral Disorder Counselors
21_1012,"Educational, Vocational, and School Counselors",21_1012,"Educational, Guidance, School, and Vocational Counselors"
21_1013,Marriage and Family Therapists,21_1013,Marriage and Family Therapists
21_1014,Mental Health Counselors,21_1014,Mental Health Counselors
21_1015,Rehabilitation Counselors,21_1015,Rehabilitation Counselors
21_1019,"Counselors, All Other",21_1019,"Counselors, All Other"
21_1021,"Child, Family, and School Social Workers",21_1021,"Child, Family, and School Social Workers"
21_1022,Medical and Public Health Social Workers,21_1022,Healthcare Social Workers
21_1023,Mental Health and Substance Abuse Social Workers,21_1023,Mental Health and Substance Abuse Social Workers
21_1029,"Social Workers, All Other",21_1029,"Social Workers, All Other"
21_1091,Health Educators*,21_1091,Health Educators 
21_1091,Health Educators*,21_1094,Community Health Workers**
21_1092,Probation Officers and Correctional Treatment Specialists,21_1092,Probation Officers and Correctional Treatment Specialists
21_1093,Social and Human Service Assistants,21_1093,Social and Human Service Assistants
21_1099,"Community and Social Service Specialists, All Other*",21_1094,Community Health Workers**
21_1099,"Community and Social Service Specialists, All Other*",21_1099,"Community and Social Service Specialists, All Other"
21_2011,Clergy,21_2011,Clergy
21_2021,"Directors, Religious Activities and Education",21_2021,"Directors, Religious Activities and Education"
21_2099,"Religious Workers, All Other",21_2099,"Religious Workers, All Other"
23_1011,Lawyers,23_1011,Lawyers
23_1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23_1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23_1022,"Arbitrators, Mediators, and Conciliators",23_1022,"Arbitrators, Mediators, and Conciliators"
23_1023,"Judges, Magistrate Judges, and Magistrates",23_1023,"Judges, Magistrate Judges, and Magistrates"
23_2011,Paralegals and Legal Assistants,23_2011,Paralegals and Legal Assistants** 
23_2091,Court Reporters,23_2091,Court Reporters
23_2092,Law Clerks*,23_1012,Judicial Law Clerks
23_2092,Law Clerks*,23_2011,Paralegals and Legal Assistants** 
23_2093,"Title Examiners, Abstractors, and Searchers",23_2093,"Title Examiners, Abstractors, and Searchers"
23_2099,"Legal Support Workers, All Other",23_2099,"Legal Support Workers, All Other"
25_1011,"Business Teachers, Postsecondary",25_1011,"Business Teachers, Postsecondary"
25_1021,"Computer Science Teachers, Postsecondary",25_1021,"Computer Science Teachers, Postsecondary"
25_1022,"Mathematical Science Teachers, Postsecondary",25_1022,"Mathematical Science Teachers, Postsecondary"
25_1031,"Architecture Teachers, Postsecondary",25_1031,"Architecture Teachers, Postsecondary"
25_1032,"Engineering Teachers, Postsecondary",25_1032,"Engineering Teachers, Postsecondary"
25_1041,"Agricultural Sciences Teachers, Postsecondary",25_1041,"Agricultural Sciences Teachers, Postsecondary"
25_1042,"Biological Science Teachers, Postsecondary",25_1042,"Biological Science Teachers, Postsecondary"
25_1043,"Forestry and Conservation Science Teachers, Postsecondary",25_1043,"Forestry and Conservation Science Teachers, Postsecondary"
25_1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25_1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25_1052,"Chemistry Teachers, Postsecondary",25_1052,"Chemistry Teachers, Postsecondary"
25_1053,"Environmental Science Teachers, Postsecondary",25_1053,"Environmental Science Teachers, Postsecondary"
25_1054,"Physics Teachers, Postsecondary",25_1054,"Physics Teachers, Postsecondary"
25_1061,"Anthropology and Archeology Teachers, Postsecondary",25_1061,"Anthropology and Archeology Teachers, Postsecondary"
25_1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25_1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25_1063,"Economics Teachers, Postsecondary",25_1063,"Economics Teachers, Postsecondary"
25_1064,"Geography Teachers, Postsecondary",25_1064,"Geography Teachers, Postsecondary"
25_1065,"Political Science Teachers, Postsecondary",25_1065,"Political Science Teachers, Postsecondary"
25_1066,"Psychology Teachers, Postsecondary",25_1066,"Psychology Teachers, Postsecondary"
25_1067,"Sociology Teachers, Postsecondary",25_1067,"Sociology Teachers, Postsecondary"
25_1069,"Social Sciences Teachers, Postsecondary, All Other",25_1069,"Social Sciences Teachers, Postsecondary, All Other"
25_1071,"Health Specialties Teachers, Postsecondary",25_1071,"Health Specialties Teachers, Postsecondary"
25_1072,"Nursing Instructors and Teachers, Postsecondary",25_1072,"Nursing Instructors and Teachers, Postsecondary"
25_1081,"Education Teachers, Postsecondary",25_1081,"Education Teachers, Postsecondary"
25_1082,"Library Science Teachers, Postsecondary",25_1082,"Library Science Teachers, Postsecondary"
25_1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25_1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25_1112,"Law Teachers, Postsecondary",25_1112,"Law Teachers, Postsecondary"
25_1113,"Social Work Teachers, Postsecondary",25_1113,"Social Work Teachers, Postsecondary"
25_1121,"Art, Drama, and Music Teachers, Postsecondary",25_1121,"Art, Drama, and Music Teachers, Postsecondary"
25_1122,"Communications Teachers, Postsecondary",25_1122,"Communications Teachers, Postsecondary"
25_1123,"English Language and Literature Teachers, Postsecondary",25_1123,"English Language and Literature Teachers, Postsecondary"
25_1124,"Foreign Language and Literature Teachers, Postsecondary",25_1124,"Foreign Language and Literature Teachers, Postsecondary"
25_1125,"History Teachers, Postsecondary",25_1125,"History Teachers, Postsecondary"
25_1126,"Philosophy and Religion Teachers, Postsecondary",25_1126,"Philosophy and Religion Teachers, Postsecondary"
25_1191,Graduate Teaching Assistants,25_1191,Graduate Teaching Assistants
25_1192,"Home Economics Teachers, Postsecondary",25_1192,"Home Economics Teachers, Postsecondary"
25_1193,"Recreation and Fitness Studies Teachers, Postsecondary",25_1193,"Recreation and Fitness Studies Teachers, Postsecondary"
25_1194,"Vocational Education Teachers, Postsecondary",25_1194,"Vocational Education Teachers, Postsecondary"
25_1199,"Postsecondary Teachers, All Other",25_1199,"Postsecondary Teachers, All Other"
25_2011,"Preschool Teachers, Except Special Education",25_2011,"Preschool Teachers, Except Special Education"
25_2012,"Kindergarten Teachers, Except Special Education",25_2012,"Kindergarten Teachers, Except Special Education"
25_2021,"Elementary School Teachers, Except Special Education",25_2021,"Elementary School Teachers, Except Special Education"
25_2022,"Middle School Teachers, Except Special and Vocational Education",25_2022,"Middle School Teachers, Except Special and Career/Technical Education"
25_2023,"Vocational Education Teachers, Middle School",25_2023,"Career/Technical Education Teachers, Middle School"
25_2031,"Secondary School Teachers, Except Special and Vocational Education",25_2031,"Secondary School Teachers, Except Special and Career/Technical Education"
25_2032,"Vocational Education Teachers, Secondary School",25_2032,"Career/Technical Education Teachers, Secondary School"
25_2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School*",25_2051,"Special Education Teachers, Preschool"
25_2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School*",25_2052,"Special Education Teachers, Kindergarten and Elementary School"
25_2042,"Special Education Teachers, Middle School",25_2053,"Special Education Teachers, Middle School"
25_2043,"Special Education Teachers, Secondary School",25_2054,"Special Education Teachers, Secondary School"
25_3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",25_3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors 
25_3021,Self-Enrichment Education Teachers,25_3021,Self-Enrichment Education Teachers
25_3099,"Teachers and Instructors, All Other*",25_2059,"Special Education Teachers, All Other"
25_3099,"Teachers and Instructors, All Other*",25_3099,"Teachers and Instructors, All Other"
25_3099,"Teachers and Instructors, All Other*",25_3098,Substitute Teachers
25_4010,Archivists,25_4011,Archivists
25_4010,Curators,25_4012,Curators
25_4010,Museum Technicians and Conservators,25_4013,Museum Technicians and Conservators
25_4021,Librarians,25_4021,Librarians
25_4031,Library Technicians,25_4031,Library Technicians
25_9011,Audio-Visual Collections Specialists,25_9011,Audio-Visual and Multimedia Collections Specialists
25_9021,Farm and Home Management Advisors,25_9021,Farm and Home Management Advisors
25_9031,Instructional Coordinators,25_9031,Instructional Coordinators
25_9041,Teacher Assistants,25_9041,Teacher Assistants
25_9099,"Education, Training, and Library Workers, All Other",25_9099,"Education, Training, and Library Workers, All Other"
27_1011,Art Directors,27_1011,Art Directors
27_1012,Craft Artists,27_1012,Craft Artists
27_1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27_1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27_1014,Multi-Media Artists and Animators,27_1014,Multimedia Artists and Animators
27_1019,"Artists and Related Workers, All Other",27_1019,"Artists and Related Workers, All Other"
27_1021,Commercial and Industrial Designers,27_1021,Commercial and Industrial Designers
27_1022,Fashion Designers,27_1022,Fashion Designers
27_1023,Floral Designers,27_1023,Floral Designers
27_1024,Graphic Designers,27_1024,Graphic Designers
27_1025,Interior Designers,27_1025,Interior Designers
27_1026,Merchandise Displayers and Window Trimmers,27_1026,Merchandise Displayers and Window Trimmers
27_1027,Set and Exhibit Designers,27_1027,Set and Exhibit Designers
27_1029,"Designers, All Other",27_1029,"Designers, All Other"
27_2011,Actors,27_2011,Actors
27_2012,Producers and Directors,27_2012,Producers and Directors
27_2021,Athletes and Sports Competitors,27_2021,Athletes and Sports Competitors
27_2022,Coaches and Scouts,27_2022,Coaches and Scouts
27_2023,"Umpires, Referees, and Other Sports Officials",27_2023,"Umpires, Referees, and Other Sports Officials"
27_2031,Dancers,27_2031,Dancers
27_2032,Choreographers,27_2032,Choreographers
27_2041,Music Directors and Composers,27_2041,Music Directors and Composers
27_2042,Musicians and Singers,27_2042,Musicians and Singers
27_2099,"Entertainers and Performers, Sports and Related Workers, All Other",27_2099,"Entertainers and Performers, Sports and Related Workers, All Other"
27_3010,Radio and Television Announcers,27_3011,Radio and Television Announcers
27_3010,Public Address System and Other Announcers,27_3012,Public Address System and Other Announcers
27_3020,Broadcast News Analysts,27_3021,Broadcast News Analysts
27_3020,Reporters and Correspondents,27_3022,Reporters and Correspondents
27_3031,Public Relations Specialists*,27_3031,Public Relations Specialists
27_3031,Public Relations Specialists*,13_1121,"Meeting, Convention, and Event Planners** "
27_3031,Public Relations Specialists*,13_1161  ,Market Research Analysts and Marketing Specialists**
27_3041,Editors,27_3041,Editors
27_3042,Technical Writers,27_3042,Technical Writers
27_3043,Writers and Authors,27_3043,Writers and Authors
27_3091,Interpreters and Translators,27_3091,Interpreters and Translators
27_3099,"Media and Communication Workers, All Other",27_3099,"Media and Communication Workers, All Other"
27_4011,Audio and Video Equipment Technicians,27_4011,Audio and Video Equipment Technicians
27_4012,Broadcast Technicians,27_4012,Broadcast Technicians
