2000 SOC code,2000 SOC title,2010 SOC code,2010 SOC title
27_4013,Radio Operators,27_4013,Radio Operators
27_4014,Sound Engineering Technicians,27_4014,Sound Engineering Technicians
27_4021,Photographers,27_4021,Photographers
27_4031,"Camera Operators, Television, Video, and Motion Picture",27_4031,"Camera Operators, Television, Video, and Motion Picture"
27_4032,Film and Video Editors,27_4032,Film and Video Editors
27_4099,"Media and Communication Equipment Workers, All Other",27_4099,"Media and Communication Equipment Workers, All Other"
29_1011,Chiropractors,29_1011,Chiropractors
29_1020,"Dentists, General",29_1021,"Dentists, General"
29_1020,Oral and Maxillofacial Surgeons,29_1022,Oral and Maxillofacial Surgeons
29_1020,Orthodontists,29_1023,Orthodontists
29_1020,Prosthodontists,29_1024,Prosthodontists
29_1020,"Dentists, All Other Specialists",29_1029,"Dentists, All Other Specialists"
29_1031,Dietitians and Nutritionists,29_1031,Dietitians and Nutritionists
29_1041,Optometrists,29_1041,Optometrists
29_1051,Pharmacists,29_1051,Pharmacists
29_1061,Anesthesiologists,29_1061,Anesthesiologists
29_1062,Family and General Practitioners,29_1062,Family and General Practitioners
29_1063,"Internists, General",29_1063,"Internists, General"
29_1064,Obstetricians and Gynecologists,29_1064,Obstetricians and Gynecologists
29_1065,"Pediatricians, General",29_1065,"Pediatricians, General"
29_1066,Psychiatrists,29_1066,Psychiatrists
29_1067,Surgeons,29_1067,Surgeons
29_1069,"Physicians and Surgeons, All Other",29_1069,"Physicians and Surgeons, All Other"
29_1071,Physician Assistants,29_1071,Physician Assistants
29_1081,Podiatrists,29_1081,Podiatrists
29_1111,Registered Nurses*,29_1141,Registered Nurses
29_1111,Registered Nurses*,29_1151,Nurse Anesthetists
29_1111,Registered Nurses*,29_1161,Nurse Midwives
29_1111,Registered Nurses*,29_1171,Nurse Practitioners
29_1121,Audiologists,29_1181,Audiologists
29_1122,Occupational Therapists,29_1122,Occupational Therapists
29_1123,Physical Therapists,29_1123,Physical Therapists
29_1124,Radiation Therapists,29_1124,Radiation Therapists
29_1125,Recreational Therapists,29_1125,Recreational Therapists
29_1126,Respiratory Therapists,29_1126,Respiratory Therapists
29_1127,Speech-Language Pathologists,29_1127,Speech-Language Pathologists
29_1129,"Therapists, All Other*",29_1128,Exercise Physiologists
29_1129,"Therapists, All Other*",29_1129,"Therapists, All Other"
29_1131,Veterinarians,29_1131,Veterinarians
29_1199,"Health Diagnosing and Treating Practitioners, All Other",29_1199,"Health Diagnosing and Treating Practitioners, All Other"
29_2011,Medical and Clinical Laboratory Technologists,29_2011,Medical and Clinical Laboratory Technologists
29_2012,Medical and Clinical Laboratory Technicians,29_2012,Medical and Clinical Laboratory Technicians
29_2021,Dental Hygienists,29_2021,Dental Hygienists
29_2031,Cardiovascular Technologists and Technicians,29_2031,Cardiovascular Technologists and Technicians
29_2032,Diagnostic Medical Sonographers,29_2032,Diagnostic Medical Sonographers
29_2033,Nuclear Medicine Technologists,29_2033,Nuclear Medicine Technologists
29_2034,Radiologic Technologists and Technicians*,29_2034,Radiologic Technologists 
29_2034,Radiologic Technologists and Technicians*,29_2035 ,Magnetic Resonance Imaging Technologists
29_2041,Emergency Medical Technicians and Paramedics,29_2041,Emergency Medical Technicians and Paramedics
29_2051,Dietetic Technicians,29_2051,Dietetic Technicians
29_2052,Pharmacy Technicians,29_2052,Pharmacy Technicians
29_2053,Psychiatric Technicians,29_2053,Psychiatric Technicians
29_2054,Respiratory Therapy Technicians,29_2054,Respiratory Therapy Technicians
29_2055,Surgical Technologists,29_2055,Surgical Technologists
29_2056,Veterinary Technologists and Technicians,29_2056,Veterinary Technologists and Technicians
29_2061,Licensed Practical and Licensed Vocational Nurses,29_2061,Licensed Practical and Licensed Vocational Nurses
29_2071,Medical Records and Health Information Technicians,29_2071,Medical Records and Health Information Technicians
29_2081,"Opticians, Dispensing",29_2081,"Opticians, Dispensing"
29_2091,Orthotists and Prosthetists,29_2091,Orthotists and Prosthetists
29_2099,"Health Technologists and Technicians, All Other*",29_2092,Hearing Aid Specialists
29_2099,"Health Technologists and Technicians, All Other*",29_2057,Ophthalmic Medical Technicians
29_2099,"Health Technologists and Technicians, All Other*",29_2099,"Health Technologists and Technicians, All Other"
29_9010,Occupational Health and Safety Specialists,29_9011,Occupational Health and Safety Specialists
29_9010,Occupational Health and Safety Technicians,29_9012,Occupational Health and Safety Technicians
29_9091,Athletic Trainers,29_9091,Athletic Trainers
29_9099,"Healthcare Practitioners and Technical Workers, All Other*",29_9092,Genetic Counselors
29_9099,"Healthcare Practitioners and Technical Workers, All Other*",29_9099,"Healthcare Practitioners and Technical Workers, All Other"
31_1011,Home Health Aides,31_1011,Home Health Aides
31_1012,"Nursing Aides, Orderlies, and Attendants*",31_1015,Orderlies
31_1012,"Nursing Aides, Orderlies, and Attendants*",31_1014,Nursing Assistants
31_1013,Psychiatric Aides,31_1013,Psychiatric Aides
31_2011,Occupational Therapist Assistants,31_2011,Occupational Therapy Assistants
31_2012,Occupational Therapist Aides,31_2012,Occupational Therapy Aides
31_2021,Physical Therapist Assistants,31_2021,Physical Therapist Assistants
31_2022,Physical Therapist Aides,31_2022,Physical Therapist Aides
31_9011,Massage Therapists,31_9011,Massage Therapists
31_9091,Dental Assistants,31_9091,Dental Assistants
31_9092,Medical Assistants,31_9092,Medical Assistants
31_9093,Medical Equipment Preparers,31_9093,Medical Equipment Preparers
31_9094,Medical Transcriptionists,31_9094,Medical Transcriptionists
31_9095,Pharmacy Aides,31_9095,Pharmacy Aides
31_9096,Veterinary Assistants and Laboratory Animal Caretakers,31_9096,Veterinary Assistants and Laboratory Animal Caretakers
31_9099,"Healthcare Support Workers, All Other*",31_9097,Phlebotomists
31_9099,"Healthcare Support Workers, All Other*",31_9099,"Healthcare Support Workers, All Other"
33_1011,First-Line Supervisors/Managers of Correctional Officers,33_1011,First-Line Supervisors of Correctional Officers
33_1012,First-Line Supervisors/Managers of Police and Detectives,33_1012,First-Line Supervisors of Police and Detectives
33_1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,33_1021,First-Line Supervisors of Fire Fighting and Prevention Workers
33_1099,"First-Line Supervisors/Managers, Protective Service Workers, All Other",33_1099,"First-Line Supervisors of Protective Service Workers, All Other"
33_2011,Fire Fighters,33_2011,Firefighters
33_2021,Fire Inspectors and Investigators,33_2021,Fire Inspectors and Investigators
33_2022,Forest Fire Inspectors and Prevention Specialists,33_2022,Forest Fire Inspectors and Prevention Specialists
33_3011,Bailiffs,33_3011,Bailiffs
33_3012,Correctional Officers and Jailers,33_3012,Correctional Officers and Jailers
33_3021,Detectives and Criminal Investigators,33_3021,Detectives and Criminal Investigators
33_3031,Fish and Game Wardens,33_3031,Fish and Game Wardens
33_3041,Parking Enforcement Workers,33_3041,Parking Enforcement Workers
33_3051,Police and Sheriff's Patrol Officers,33_3051,Police and Sheriff's Patrol Officers
33_3052,Transit and Railroad Police,33_3052,Transit and Railroad Police
33_9011,Animal Control Workers,33_9011,Animal Control Workers
33_9021,Private Detectives and Investigators,33_9021,Private Detectives and Investigators
33_9031,Gaming Surveillance Officers and Gaming Investigators,33_9031,Gaming Surveillance Officers and Gaming Investigators
33_9032,Security Guards*,33_9032,Security Guards
33_9032,Security Guards*,33_9093 ,Transportation Security Screeners** 
33_9091,Crossing Guards,33_9091,Crossing Guards
33_9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33_9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33_9099,"Protective Service Workers, All Other*",33_9093 ,Transportation Security Screeners** 
33_9099,"Protective Service Workers, All Other*",33_9099,"Protective Service Workers, All Other"
35_1011,Chefs and Head Cooks,35_1011,Chefs and Head Cooks
35_1012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35_1012,First-Line Supervisors of Food Preparation and Serving Workers
35_2011,"Cooks, Fast Food",35_2011,"Cooks, Fast Food"
35_2012,"Cooks, Institution and Cafeteria",35_2012,"Cooks, Institution and Cafeteria"
35_2013,"Cooks, Private Household",35_2013,"Cooks, Private Household"
35_2014,"Cooks, Restaurant",35_2014,"Cooks, Restaurant"
35_2015,"Cooks, Short Order",35_2015,"Cooks, Short Order"
35_2019,"Cooks, All Other",35_2019,"Cooks, All Other"
35_2021,Food Preparation Workers,35_2021,Food Preparation Workers
35_3011,Bartenders,35_3011,Bartenders
35_3021,"Combined Food Preparation and Serving Workers, Including Fast Food",35_3021,"Combined Food Preparation and Serving Workers, Including Fast Food"
35_3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35_3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
35_3031,Waiters and Waitresses,35_3031,Waiters and Waitresses
35_3041,"Food Servers, Nonrestaurant",35_3041,"Food Servers, Nonrestaurant"
35_9011,Dining Room and Cafeteria Attendants and Bartender Helpers,35_9011,Dining Room and Cafeteria Attendants and Bartender Helpers
35_9021,Dishwashers,35_9021,Dishwashers
35_9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35_9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35_9099,"Food Preparation and Serving Related Workers, All Other",35_9099,"Food Preparation and Serving Related Workers, All Other"
37_1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37_1011,First-Line Supervisors of Housekeeping and Janitorial Workers
37_1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",37_1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
37_2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37_2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37_2012,Maids and Housekeeping Cleaners,37_2012,Maids and Housekeeping Cleaners
37_2019,"Building Cleaning Workers, All Other",37_2019,"Building Cleaning Workers, All Other"
37_2021,Pest Control Workers,37_2021,Pest Control Workers
37_3011,Landscaping and Groundskeeping Workers,37_3011,Landscaping and Groundskeeping Workers
37_3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37_3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37_3013,Tree Trimmers and Pruners,37_3013,Tree Trimmers and Pruners
37_3019,"Grounds Maintenance Workers, All Other",37_3019,"Grounds Maintenance Workers, All Other"
39_1011,Gaming Supervisors,39_1011,Gaming Supervisors
39_1012,Slot Key Persons,39_1012,Slot Supervisors
39_1021,First-Line Supervisors/Managers of Personal Service Workers,39_1021,First-Line Supervisors of Personal Service Workers
39_2011,Animal Trainers,39_2011,Animal Trainers
39_2021,Nonfarm Animal Caretakers,39_2021,Nonfarm Animal Caretakers
39_3011,Gaming Dealers,39_3011,Gaming Dealers
39_3012,Gaming and Sports Book Writers and Runners,39_3012,Gaming and Sports Book Writers and Runners
39_3019,"Gaming Service Workers, All Other",39_3019,"Gaming Service Workers, All Other"
39_3021,Motion Picture Projectionists,39_3021,Motion Picture Projectionists
39_3031,"Ushers, Lobby Attendants, and Ticket Takers",39_3031,"Ushers, Lobby Attendants, and Ticket Takers"
39_3091,Amusement and Recreation Attendants,39_3091,Amusement and Recreation Attendants
39_3092,Costume Attendants,39_3092,Costume Attendants
39_3093,"Locker Room, Coatroom, and Dressing Room Attendants",39_3093,"Locker Room, Coatroom, and Dressing Room Attendants"
39_3099,"Entertainment Attendants and Related Workers, All Other",39_3099,"Entertainment Attendants and Related Workers, All Other"
39_4011,Embalmers,39_4011,Embalmers
39_4021,Funeral Attendants,39_4021,Funeral Attendants
39_5011,Barbers,39_5011,Barbers
39_5012,"Hairdressers, Hairstylists, and Cosmetologists",39_5012,"Hairdressers, Hairstylists, and Cosmetologists"
39_5091,"Makeup Artists, Theatrical and Performance",39_5091,"Makeup Artists, Theatrical and Performance"
39_5092,Manicurists and Pedicurists,39_5092,Manicurists and Pedicurists
39_5093,Shampooers,39_5093,Shampooers
39_5094,Skin Care Specialists,39_5094,Skincare Specialists
39_6011,Baggage Porters and Bellhops,39_6011,Baggage Porters and Bellhops
39_6012,Concierges,39_6012,Concierges
39_6021,Tour Guides and Escorts,39_7011,Tour Guides and Escorts
39_6022,Travel Guides,39_7012,Travel Guides
39_6031,Flight Attendants,53_2031,Flight Attendants
39_6032,"Transportation Attendants, Except Flight Attendants and Baggage Porters",53_6061,"Transportation Attendants, Except Flight Attendants "
39_9011,Child Care Workers,39_9011,Childcare Workers
39_9021,Personal and Home Care Aides,39_9021,Personal Care Aides
39_9031,Fitness Trainers and Aerobics Instructors,39_9031,Fitness Trainers and Aerobics Instructors
39_9032,Recreation Workers,39_9032,Recreation Workers
39_9041,Residential Advisors,39_9041,Residential Advisors
39_9099,"Personal Care and Service Workers, All Other",39_9099,"Personal Care and Service Workers, All Other"
41_1011,First-Line Supervisors/Managers of Retail Sales Workers,41_1011,First-Line Supervisors of Retail Sales Workers
41_1012,First-Line Supervisors/Managers of Non-Retail Sales Workers,41_1012,First-Line Supervisors of Non-Retail Sales Workers
41_2011,Cashiers,41_2011,Cashiers
41_2012,Gaming Change Persons and Booth Cashiers,41_2012,Gaming Change Persons and Booth Cashiers
41_2021,Counter and Rental Clerks,41_2021,Counter and Rental Clerks
41_2022,Parts Salespersons,41_2022,Parts Salespersons
41_2031,Retail Salespersons,41_2031,Retail Salespersons
41_3011,Advertising Sales Agents,41_3011,Advertising Sales Agents
41_3021,Insurance Sales Agents,41_3021,Insurance Sales Agents
41_3031,"Securities, Commodities, and Financial Services Sales Agents",41_3031,"Securities, Commodities, and Financial Services Sales Agents"
41_3041,Travel Agents,41_3041,Travel Agents
41_3099,"Sales Representatives, Services, All Other",41_3099,"Sales Representatives, Services, All Other"
41_4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41_4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41_4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41_4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41_9011,Demonstrators and Product Promoters,41_9011,Demonstrators and Product Promoters
41_9012,Models,41_9012,Models
41_9021,Real Estate Brokers,41_9021,Real Estate Brokers
41_9022,Real Estate Sales Agents,41_9022,Real Estate Sales Agents
41_9031,Sales Engineers,41_9031,Sales Engineers
41_9041,Telemarketers,41_9041,Telemarketers
41_9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41_9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41_9099,"Sales and Related Workers, All Other*",41_9099,"Sales and Related Workers, All Other"
41_9099,"Sales and Related Workers, All Other*",13_1131,Fundraisers
43_1011,First-Line Supervisors/Managers of Office and Administrative Support Workers,43_1011,First-Line Supervisors of Office and Administrative Support Workers
43_2011,"Switchboard Operators, Including Answering Service",43_2011,"Switchboard Operators, Including Answering Service"
43_2021,Telephone Operators,43_2021,Telephone Operators
43_2099,"Communications Equipment Operators, All Other",43_2099,"Communications Equipment Operators, All Other"
43_3011,Bill and Account Collectors,43_3011,Bill and Account Collectors
43_3021,Billing and Posting Clerks and Machine Operators,43_3021,Billing and Posting Clerks
43_3031,"Bookkeeping, Accounting, and Auditing Clerks",43_3031,"Bookkeeping, Accounting, and Auditing Clerks"
43_3041,Gaming Cage Workers,43_3041,Gaming Cage Workers
43_3051,Payroll and Timekeeping Clerks,43_3051,Payroll and Timekeeping Clerks
43_3061,Procurement Clerks,43_3061,Procurement Clerks
43_3071,Tellers,43_3071,Tellers
43_4011,Brokerage Clerks,43_4011,Brokerage Clerks
43_4021,Correspondence Clerks,43_4021,Correspondence Clerks
43_4031,"Court, Municipal, and License Clerks",43_4031,"Court, Municipal, and License Clerks"
43_4041,"Credit Authorizers, Checkers, and Clerks",43_4041,"Credit Authorizers, Checkers, and Clerks"
43_4051,Customer Service Representatives,43_4051,Customer Service Representatives
43_4061,"Eligibility Interviewers, Government Programs",43_4061,"Eligibility Interviewers, Government Programs"
43_4071,File Clerks,43_4071,File Clerks
43_4081,"Hotel, Motel, and Resort Desk Clerks",43_4081,"Hotel, Motel, and Resort Desk Clerks"
43_4111,"Interviewers, Except Eligibility and Loan",43_4111,"Interviewers, Except Eligibility and Loan"
43_4121,"Library Assistants, Clerical",43_4121,"Library Assistants, Clerical"
43_4131,Loan Interviewers and Clerks,43_4131,Loan Interviewers and Clerks
43_4141,New Accounts Clerks,43_4141,New Accounts Clerks
43_4151,Order Clerks,43_4151,Order Clerks
43_4161,"Human Resources Assistants, Except Payroll and Timekeeping",43_4161,"Human Resources Assistants, Except Payroll and Timekeeping"
43_4171,Receptionists and Information Clerks,43_4171,Receptionists and Information Clerks
43_4181,Reservation and Transportation Ticket Agents and Travel Clerks,43_4181,Reservation and Transportation Ticket Agents and Travel Clerks
43_4199,"Information and Record Clerks, All Other",43_4199,"Information and Record Clerks, All Other"
43_5011,Cargo and Freight Agents,43_5011,Cargo and Freight Agents
43_5021,Couriers and Messengers,43_5021,Couriers and Messengers
43_5031,"Police, Fire, and Ambulance Dispatchers",43_5031,"Police, Fire, and Ambulance Dispatchers"
43_5032,"Dispatchers, Except Police, Fire, and Ambulance",43_5032,"Dispatchers, Except Police, Fire, and Ambulance"
43_5041,"Meter Readers, Utilities",43_5041,"Meter Readers, Utilities"
43_5051,Postal Service Clerks,43_5051,Postal Service Clerks
43_5052,Postal Service Mail Carriers,43_5052,Postal Service Mail Carriers
43_5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43_5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
43_5061,"Production, Planning, and Expediting Clerks",43_5061,"Production, Planning, and Expediting Clerks"
43_5071,"Shipping, Receiving, and Traffic Clerks",43_5071,"Shipping, Receiving, and Traffic Clerks"
43_5081,Stock Clerks and Order Fillers,43_5081,Stock Clerks and Order Fillers
43_5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43_5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43_6011,Executive Secretaries and Administrative Assistants,43_6011,Executive Secretaries and Executive Administrative Assistants
43_6012,Legal Secretaries,43_6012,Legal Secretaries
43_6013,Medical Secretaries,43_6013,Medical Secretaries
43_6014,"Secretaries, Except Legal, Medical, and Executive",43_6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
43_9011,Computer Operators,43_9011,Computer Operators
43_9021,Data Entry Keyers,43_9021,Data Entry Keyers
43_9022,Word Processors and Typists,43_9022,Word Processors and Typists
43_9031,Desktop Publishers,43_9031,Desktop Publishers
43_9041,Insurance Claims and Policy Processing Clerks,43_9041,Insurance Claims and Policy Processing Clerks
43_9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",43_9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43_9061,"Office Clerks, General",43_9061,"Office Clerks, General"
43_9071,"Office Machine Operators, Except Computer",43_9071,"Office Machine Operators, Except Computer"
43_9081,Proofreaders and Copy Markers,43_9081,Proofreaders and Copy Markers
43_9111,Statistical Assistants,43_9111,Statistical Assistants
43_9199,"Office and Administrative Support Workers, All Other*",43_3099 ,"Financial Clerks, All Other"
43_9199,"Office and Administrative Support Workers, All Other*",43_9199,"Office and Administrative Support Workers, All Other"
45_1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",45_1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
45_1012,Farm Labor Contractors,13_1074,Farm Labor Contractors
45_2011,Agricultural Inspectors,45_2011,Agricultural Inspectors
45_2021,Animal Breeders,45_2021,Animal Breeders
45_2041,"Graders and Sorters, Agricultural Products",45_2041,"Graders and Sorters, Agricultural Products"
45_2091,Agricultural Equipment Operators,45_2091,Agricultural Equipment Operators
45_2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45_2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
45_2093,"Farmworkers, Farm and Ranch Animals",45_2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
45_2099,"Agricultural Workers, All Other",45_2099,"Agricultural Workers, All Other"
45_3011,Fishers and Related Fishing Workers,45_3011,Fishers and Related Fishing Workers
45_3021,Hunters and Trappers,45_3021,Hunters and Trappers
45_4011,Forest and Conservation Workers,45_4011,Forest and Conservation Workers
45_4021,Fallers,45_4021,Fallers
45_4022,Logging Equipment Operators,45_4022,Logging Equipment Operators
45_4023,Log Graders and Scalers,45_4023,Log Graders and Scalers
45_4029,"Logging Workers, All Other",45_4029,"Logging Workers, All Other"
47_1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47_1011,First-Line Supervisors of Construction Trades and Extraction Workers
47_2011,Boilermakers,47_2011,Boilermakers
47_2021,Brickmasons and Blockmasons,47_2021,Brickmasons and Blockmasons
47_2022,Stonemasons,47_2022,Stonemasons
47_2031,Carpenters,47_2031,Carpenters
47_2041,Carpet Installers,47_2041,Carpet Installers
47_2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47_2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
47_2043,Floor Sanders and Finishers,47_2043,Floor Sanders and Finishers
47_2044,Tile and Marble Setters,47_2044,Tile and Marble Setters
47_2051,Cement Masons and Concrete Finishers,47_2051,Cement Masons and Concrete Finishers
47_2053,Terrazzo Workers and Finishers,47_2053,Terrazzo Workers and Finishers
47_2061,Construction Laborers,47_2061,Construction Laborers
47_2071,"Paving, Surfacing, and Tamping Equipment Operators",47_2071,"Paving, Surfacing, and Tamping Equipment Operators"
47_2072,Pile-Driver Operators,47_2072,Pile-Driver Operators
47_2073,Operating Engineers and Other Construction Equipment Operators,47_2073,Operating Engineers and Other Construction Equipment Operators
47_2081,Drywall and Ceiling Tile Installers,47_2081,Drywall and Ceiling Tile Installers
47_2082,Tapers,47_2082,Tapers
47_2111 ,Electricians*  ,47_2111,Electricians
47_2121,Glaziers,47_2121,Glaziers
47_2130,"Insulation Workers, Floor, Ceiling, and Wall",47_2131,"Insulation Workers, Floor, Ceiling, and Wall"
47_2130,"Insulation Workers, Mechanical",47_2132,"Insulation Workers, Mechanical"
47_2141,"Painters, Construction and Maintenance",47_2141,"Painters, Construction and Maintenance"
47_2142,Paperhangers,47_2142,Paperhangers
47_2151,Pipelayers,47_2151,Pipelayers
47_2152,"Plumbers, Pipefitters, and Steamfitters",47_2152,"Plumbers, Pipefitters, and Steamfitters"
47_2161,Plasterers and Stucco Masons,47_2161,Plasterers and Stucco Masons
47_2171,Reinforcing Iron and Rebar Workers,47_2171,Reinforcing Iron and Rebar Workers
47_2181,Roofers*  ,47_2181,Roofers
47_2181,Roofers*  ,47_2231,Solar Photovoltaic Installers** 
47_2211,Sheet Metal Workers,47_2211,Sheet Metal Workers
47_2221,Structural Iron and Steel Workers,47_2221,Structural Iron and Steel Workers
47_3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47_3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
47_3012,Helpers--Carpenters,47_3012,Helpers--Carpenters
47_3013,Helpers--Electricians,47_3013,Helpers--Electricians
47_3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47_3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
47_3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47_3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
47_3016,Helpers--Roofers,47_3016,Helpers--Roofers
47_3019,"Helpers, Construction Trades, All Other",47_3019,"Helpers, Construction Trades, All Other"
47_4011,Construction and Building Inspectors,47_4011,Construction and Building Inspectors
47_4021,Elevator Installers and Repairers,47_4021,Elevator Installers and Repairers
47_4031,Fence Erectors,47_4031,Fence Erectors
47_4041,Hazardous Materials Removal Workers,47_4041,Hazardous Materials Removal Workers
47_4051,Highway Maintenance Workers,47_4051,Highway Maintenance Workers
47_4061,Rail-Track Laying and Maintenance Equipment Operators,47_4061,Rail-Track Laying and Maintenance Equipment Operators
47_4071,Septic Tank Servicers and Sewer Pipe Cleaners,47_4071,Septic Tank Servicers and Sewer Pipe Cleaners
47_4091,Segmental Pavers,47_4091,Segmental Pavers
